      SOMETIMES , 4    
      SOMEWHERE , 2    
           SOON , 18   
         SOONER , 2    
      SORROWFUL , 2    
           SORT , 10   
          SORTS , 2    
          SOUND , 2    
        SOUNDED , 4    
         SOUNDS , 2    
          SPEAK , 7    
       SPEAKING , 3    
         SPEECH , 2    
          SPOKE , 4    
      SPONSORED , 5    
         SPREAD , 3    
         STAIRS , 3    
        STARTED , 2    
           STAY , 4    
          STICK , 4    
          STILL , 6    
           STOP , 4    
          STORY , 3    
        STRANGE , 2    
      STRETCHED , 2    
         STRUCK , 2    
          STUFF , 2    
         STUPID , 2    
        SUBJECT , 2    
      SUCCEEDED , 2    
           SUCH , 22   
         SUDDEN , 4    
       SUDDENLY , 8    
           SUIT , 2    
          SULKY , 2    
        SUPPOSE , 6    
           SURE , 19   
      SURPRISED , 4    
           SWAM , 5    
       SWIMMING , 2    
          TABLE , 10   
           TAIL , 4    
           TAKE , 6    
         TAKING , 2    
           TALE , 3    
           TALK , 5    
        TALKING , 9    
         TALLER , 2    
          TASTE , 2    
         TASTED , 2    
          TEARS , 7    
      TELESCOPE , 3    
           TELL , 15   
         TEMPER , 3    
           THAN , 8    
           THAT , 118  
          THATS , 7    
          THEIR , 7    
           THEM , 29   
           THEN , 35   
          THERE , 35   
         THERES , 8    
          THESE , 4    
           THEY , 36   
         THEYLL , 4    
        THIMBLE , 4    
          THING , 21   
         THINGS , 13   
          THINK , 28   
       THINKING , 4    
           THIS , 69   
        THISTLE , 2    
          THOSE , 6    
         THOUGH , 4    
        THOUGHT , 35   
       THOUSAND , 2    
          THREE , 6    
        THROUGH , 8    
          THUMP , 2    
           TILL , 9    
           TIME , 26   
          TIMES , 5    
           TINY , 3    
          TIRED , 6    
          TODAY , 2    
       TOGETHER , 3    
           TONE , 13   
         TONGUE , 2    
           TOOK , 12   
          TREES , 4    
      TREMBLING , 3    
          TRIAL , 2    
          TRIED , 14   
       TROTTING , 2    
        TROUBLE , 3    
         TRYING , 9    
         TURNED , 8    
